Sample_Name, Sample_Execution_Time_ns, path, path weight, is correct
burma14.tsp, 2391879167, 9->8->10->7->12->6->13->11->5->4->3->2->1->0, 3367, true
burma14.tsp, 2447721083, 9->8->10->7->12->6->13->11->5->4->3->2->1->0, 3367, true
burma14.tsp, 2344401959, 9->8->10->7->12->6->13->11->5->4->3->2->1->0, 3367, true
burma14.tsp, 2444861667, 9->8->10->7->12->6->13->11->5->4->3->2->1->0, 3367, true
burma14.tsp, 2402659834, 9->8->10->7->12->6->13->11->5->4->3->2->1->0, 3367, true
burma14.tsp, 2376961500, 9->8->10->7->12->6->13->11->5->4->3->2->1->0, 3367, true
burma14.tsp, 2403253792, 9->8->10->7->12->6->13->11->5->4->3->2->1->0, 3367, true
burma14.tsp, 2380129417, 9->8->10->7->12->6->13->11->5->4->3->2->1->0, 3367, true
burma14.tsp, 2391665042, 9->8->10->7->12->6->13->11->5->4->3->2->1->0, 3367, true
burma14.tsp, 2474375625, 9->8->10->7->12->6->13->11->5->4->3->2->1->0, 3367, true
