Sample_Name, No_of_Nodes, Iteration, Sample_Execution_Time_ns
sample_3_1_1, 3, 1, 9542
sample_3_1_2, 3, 2, 3416
sample_3_1_3, 3, 3, 2791
sample_3_1_4, 3, 4, 2709
sample_3_1_5, 3, 5, 2500
sample_3_2_1, 3, 1, 2709
sample_3_2_2, 3, 2, 6167
sample_3_2_3, 3, 3, 6250
sample_3_2_4, 3, 4, 6167
sample_3_2_5, 3, 5, 2416
sample_3_3_1, 3, 1, 2625
sample_3_3_2, 3, 2, 6583
sample_3_3_3, 3, 3, 6209
sample_3_3_4, 3, 4, 6209
sample_3_3_5, 3, 5, 6167
sample_3_4_1, 3, 1, 2458
sample_3_4_2, 3, 2, 6416
sample_3_4_3, 3, 3, 6166
sample_3_4_4, 3, 4, 6250
sample_3_4_5, 3, 5, 6166
sample_3_5_1, 3, 1, 2167
sample_3_5_2, 3, 2, 6042
sample_3_5_3, 3, 3, 2000
sample_3_5_4, 3, 4, 2000
sample_3_5_5, 3, 5, 5625
sample_4_1_1, 4, 1, 4500
sample_4_1_2, 4, 2, 7959
sample_4_1_3, 4, 3, 7500
sample_4_1_4, 4, 4, 7375
sample_4_1_5, 4, 5, 7334
sample_4_2_1, 4, 1, 10000
sample_4_2_2, 4, 2, 9916
sample_4_2_3, 4, 3, 9458
sample_4_2_4, 4, 4, 9292
sample_4_2_5, 4, 5, 9375
sample_4_3_1, 4, 1, 5875
sample_4_3_2, 4, 2, 9625
sample_4_3_3, 4, 3, 9417
sample_4_3_4, 4, 4, 9209
sample_4_3_5, 4, 5, 9292
sample_4_4_1, 4, 1, 6292
sample_4_4_2, 4, 2, 10042
sample_4_4_3, 4, 3, 9833
sample_4_4_4, 4, 4, 9667
sample_4_4_5, 4, 5, 9666
sample_4_5_1, 4, 1, 9166
sample_4_5_2, 4, 2, 8917
sample_4_5_3, 4, 3, 9125
sample_4_5_4, 4, 4, 8833
sample_4_5_5, 4, 5, 8875
sample_5_1_1, 5, 1, 18000
sample_5_1_2, 5, 2, 17875
sample_5_1_3, 5, 3, 17459
sample_5_1_4, 5, 4, 17125
sample_5_1_5, 5, 5, 17250
sample_5_2_1, 5, 1, 10000
sample_5_2_2, 5, 2, 13416
sample_5_2_3, 5, 3, 13459
sample_5_2_4, 5, 4, 13250
sample_5_2_5, 5, 5, 13625
sample_5_3_1, 5, 1, 16833
sample_5_3_2, 5, 2, 20625
sample_5_3_3, 5, 3, 20250
sample_5_3_4, 5, 4, 20500
sample_5_3_5, 5, 5, 20042
sample_5_4_1, 5, 1, 40667
sample_5_4_2, 5, 2, 28208
sample_5_4_3, 5, 3, 26584
sample_5_4_4, 5, 4, 26416
sample_5_4_5, 5, 5, 26333
sample_5_5_1, 5, 1, 7250
sample_5_5_2, 5, 2, 10875
sample_5_5_3, 5, 3, 10625
sample_5_5_4, 5, 4, 10459
sample_5_5_5, 5, 5, 10417
sample_6_1_1, 6, 1, 61458
sample_6_1_2, 6, 2, 50375
sample_6_1_3, 6, 3, 53000
sample_6_1_4, 6, 4, 53250
sample_6_1_5, 6, 5, 53208
sample_6_2_1, 6, 1, 21292
sample_6_2_2, 6, 2, 24583
sample_6_2_3, 6, 3, 24250
sample_6_2_4, 6, 4, 24083
sample_6_2_5, 6, 5, 23500
sample_6_3_1, 6, 1, 42500
sample_6_3_2, 6, 2, 42500
sample_6_3_3, 6, 3, 42875
sample_6_3_4, 6, 4, 42541
sample_6_3_5, 6, 5, 42333
sample_6_4_1, 6, 1, 27792
sample_6_4_2, 6, 2, 31000
sample_6_4_3, 6, 3, 30792
sample_6_4_4, 6, 4, 30667
sample_6_4_5, 6, 5, 30542
sample_6_5_1, 6, 1, 42542
sample_6_5_2, 6, 2, 42208
sample_6_5_3, 6, 3, 41875
sample_6_5_4, 6, 4, 41917
sample_6_5_5, 6, 5, 41792
sample_7_1_1, 7, 1, 58125
sample_7_1_2, 7, 2, 60917
sample_7_1_3, 7, 3, 60625
sample_7_1_4, 7, 4, 60334
sample_7_1_5, 7, 5, 60333
sample_7_2_1, 7, 1, 116416
sample_7_2_2, 7, 2, 119208
sample_7_2_3, 7, 3, 118917
