Instance,Nodes,Run,ExecutionTime,BestDistance,OptimalDistance,GapPercentage,BestFitness,ConvergenceGeneration
pr439.tsp,439,1,18.250510,677016.00,107217.00,531.44,0.014669,800
pr439.tsp,439,2,18.572324,690848.00,107217.00,544.35,0.014545,800
pr439.tsp,439,3,18.547405,710800.00,107217.00,562.95,0.014075,800
rd100.tsp,100,1,1.066024,14745.00,7910.00,86.41,0.718752,800
rd100.tsp,100,2,1.075827,13528.00,7910.00,71.02,0.757232,681
rd100.tsp,100,3,1.068257,14907.00,7910.00,88.46,0.704672,800
swiss42.tsp,42,1,0.243492,1474.00,1273.00,15.79,7.189073,285
swiss42.tsp,42,2,0.242345,1422.00,1273.00,11.70,7.473842,230
swiss42.tsp,42,3,0.244542,1490.00,1273.00,17.05,7.794232,336
tsp225.tsp,225,1,5.051502,12052.00,3916.00,207.76,0.842673,800
tsp225.tsp,225,2,5.019429,12639.00,3916.00,222.75,0.798913,800
tsp225.tsp,225,3,5.058573,12342.00,3916.00,215.17,0.816727,800
ulysses16.tsp,16,1,0.021018,7515.00,6859.00,9.56,1.922338,80
ulysses16.tsp,16,2,0.019752,7876.00,6859.00,14.83,1.797591,121
ulysses16.tsp,16,3,0.019618,7801.00,6859.00,13.73,1.822157,118
pr299.tsp,299,1,8.896550,238359.00,48191.00,394.61,0.042082,800
pr299.tsp,299,2,9.174351,265555.00,48191.00,451.05,0.037719,800
pr299.tsp,299,3,8.809805,261555.00,48191.00,442.75,0.038112,800
rd400.tsp,400,1,15.718424,81948.00,15281.00,436.27,0.121618,800
rd400.tsp,400,2,15.882944,88473.00,15281.00,478.97,0.113104,800
rd400.tsp,400,3,16.010946,90221.00,15281.00,490.41,0.110527,800
pr264.tsp,264,1,7.020571,235561.00,49135.00,379.42,0.042378,800
pr264.tsp,264,2,7.075171,215287.00,49135.00,338.15,0.046569,800
pr264.tsp,264,3,7.287450,223649.00,49135.00,355.17,0.044927,427
rat195.tsp,195,1,4.050619,6809.00,2323.00,193.11,1.471021,800
rat195.tsp,195,2,4.052625,7457.00,2323.00,221.01,1.360729,518
rat195.tsp,195,3,4.015110,7156.00,2323.00,208.05,1.440507,800
ulysses22.tsp,22,1,0.059451,7958.00,7013.00,13.47,1.728310,67
ulysses22.tsp,22,2,0.057554,7733.00,7013.00,10.27,1.835536,64
ulysses22.tsp,22,3,0.057194,7841.00,7013.00,11.81,1.799856,95
ts225.tsp,225,1,5.536300,496165.00,126643.00,291.78,0.020159,800
ts225.tsp,225,2,5.366839,479738.00,126643.00,278.81,0.020926,800
ts225.tsp,225,3,5.437685,550073.00,126643.00,334.35,0.018397,800
st70.tsp,70,1,0.599750,929.00,675.00,37.63,11.086474,406
st70.tsp,70,2,0.641943,884.00,675.00,30.96,11.723330,293
st70.tsp,70,3,0.641389,1060.00,675.00,57.04,9.940358,561
rat99.tsp,99,1,1.151413,2233.00,1211.00,84.39,4.535147,680
rat99.tsp,99,2,1.212230,2195.00,1211.00,81.26,4.679457,412
rat99.tsp,99,3,1.150519,2187.00,1211.00,80.59,4.608295,800
u159.tsp,159,1,2.758447,110188.00,42080.00,161.85,0.093659,702
u159.tsp,159,2,2.764940,109239.00,42080.00,159.60,0.092216,800
u159.tsp,159,3,2.771078,116061.00,42080.00,175.81,0.089783,800
pr152.tsp,152,1,2.598147,188599.00,73682.00,155.96,0.053521,800
pr152.tsp,152,2,2.522945,212684.00,73682.00,188.65,0.047548,800
pr152.tsp,152,3,2.476879,192264.00,73682.00,160.94,0.053186,621
si175.tsp,175,1,3.394409,22238.00,21407.00,3.88,0.453515,800
si175.tsp,175,2,3.499693,22626.00,21407.00,5.69,0.449620,498
si175.tsp,175,3,3.370600,20947.00,21407.00,-2.15,0.483465,687
pr226.tsp,226,1,5.353286,329685.00,80369.00,310.21,0.030397,800
pr226.tsp,226,2,5.584771,366021.00,80369.00,355.43,0.027411,800
pr226.tsp,226,3,5.773223,390524.00,80369.00,385.91,0.025775,800
