Instance,Number of vertices,Run,ExecutionTime,BestDistance,OptimalDistance,GapPercentage,BestFitness,ConvergenceGeneration
Random,5,1,0.001897,498.77,-1.00,0.00,25.063822,1
Random,5,2,0.002298,499.76,-1.00,0.00,25.045164,0
Random,5,3,0.001830,499.16,-1.00,0.00,25.072716,5
Random,6,1,0.002048,598.51,-1.00,0.00,20.059248,73
Random,6,2,0.002135,598.01,-1.00,0.00,20.069874,75
Random,6,3,0.002221,598.84,-1.00,0.00,20.065086,0
Random,7,1,0.002326,698.68,-1.00,0.00,16.704453,24
Random,7,2,0.002291,697.81,-1.00,0.00,16.721159,3
Random,7,3,0.002296,697.96,-1.00,0.00,16.727448,9
Random,8,1,0.003491,798.07,-1.00,0.00,14.329717,29
Random,8,2,0.002669,798.38,-1.00,0.00,14.326659,10
Random,8,3,0.002635,797.63,-1.00,0.00,14.327601,9
Random,9,1,0.005933,897.65,-1.00,0.00,12.535601,20
Random,9,2,0.006044,897.09,-1.00,0.00,12.545038,47
Random,9,3,0.005997,897.80,-1.00,0.00,12.537313,25
Random,10,1,0.006749,998.00,-1.00,0.00,11.141056,15
Random,10,2,0.006572,998.53,-1.00,0.00,11.134089,49
Random,10,3,0.006347,996.29,-1.00,0.00,11.153808,11
Random,11,1,0.007153,1097.63,-1.00,0.00,10.027071,9
Random,11,2,0.007415,1097.07,-1.00,0.00,10.033710,27
Random,11,3,0.006965,1096.17,-1.00,0.00,10.035421,7
Random,12,1,0.008036,1196.59,-1.00,0.00,9.123327,50
Random,12,2,0.008230,1196.70,-1.00,0.00,9.118443,44
Random,12,3,0.008003,1196.04,-1.00,0.00,9.121806,18
Random,13,1,0.015178,1295.75,-1.00,0.00,8.365466,80
Random,13,2,0.015293,1296.34,-1.00,0.00,8.361718,71
Random,13,3,0.015004,1296.19,-1.00,0.00,8.360890,82
Random,14,1,0.016551,1395.29,-1.00,0.00,7.719260,15
Random,14,2,0.016167,1395.21,-1.00,0.00,7.721059,121
Random,14,3,0.015901,1396.85,-1.00,0.00,7.713831,31
Random,15,1,0.017612,1495.80,-1.00,0.00,7.165436,94
Random,15,2,0.017010,1495.51,-1.00,0.00,7.167981,109
Random,15,3,0.017177,1495.58,-1.00,0.00,7.167071,99
Random,16,1,0.018284,1595.26,-1.00,0.00,6.687573,32
Random,16,2,0.018634,1596.16,-1.00,0.00,6.683557,62
Random,16,3,0.019041,1594.60,-1.00,0.00,6.691359,82
Random,17,1,0.041655,1694.35,-1.00,0.00,6.270887,34
Random,17,2,0.038981,1693.56,-1.00,0.00,6.273779,21
Random,17,3,0.039668,1694.26,-1.00,0.00,6.271384,39
Random,18,1,0.043608,1793.80,-1.00,0.00,5.903683,34
Random,18,2,0.043705,1793.75,-1.00,0.00,5.902678,54
Random,18,3,0.042906,1795.72,-1.00,0.00,5.898798,31
Random,19,1,0.047510,1893.79,-1.00,0.00,5.575361,85
Random,19,2,0.047278,1893.24,-1.00,0.00,5.576654,146
Random,19,3,0.050134,1894.21,-1.00,0.00,5.574314,57
Random,20,1,0.052248,1993.37,-1.00,0.00,5.282760,43
Random,20,2,0.051411,1993.76,-1.00,0.00,5.281179,71
Random,20,3,0.048465,1992.50,-1.00,0.00,5.283025,26
Random,21,1,0.051625,2093.74,-1.00,0.00,5.016895,73
Random,21,2,0.050516,2093.19,-1.00,0.00,5.016664,211
Random,21,3,0.050254,2092.62,-1.00,0.00,5.017336,42
Random,22,1,0.053566,2192.52,-1.00,0.00,4.778482,175
Random,22,2,0.051377,2193.56,-1.00,0.00,4.776952,69
Random,22,3,0.051801,2191.89,-1.00,0.00,4.780427,191
Random,23,1,0.054690,2292.08,-1.00,0.00,4.560937,78
Random,23,2,0.054970,2292.18,-1.00,0.00,4.561678,92
Random,23,3,0.055353,2292.41,-1.00,0.00,4.561802,25
Random,24,1,0.058445,2391.23,-1.00,0.00,4.365180,99
Random,24,2,0.059159,2392.37,-1.00,0.00,4.362550,71
Random,24,3,0.061206,2390.70,-1.00,0.00,4.364800,93
Random,25,1,0.061938,2492.13,-1.00,0.00,4.179560,32
Random,25,2,0.062093,2490.97,-1.00,0.00,4.182732,131
Random,25,3,0.061089,2491.10,-1.00,0.00,4.181649,142
Random,26,1,0.069930,2591.24,-1.00,0.00,4.014206,127
Random,26,2,0.069678,2591.15,-1.00,0.00,4.014791,120
Random,26,3,0.069485,2592.44,-1.00,0.00,4.012484,97
Random,27,1,0.068910,2691.06,-1.00,0.00,3.859751,72
Random,27,2,0.067974,2690.75,-1.00,0.00,3.859177,118
Random,27,3,0.067133,2690.73,-1.00,0.00,3.859413,112
Random,28,1,0.071974,2790.01,-1.00,0.00,3.717287,104
Random,28,2,0.071632,2790.73,-1.00,0.00,3.716877,155
Random,28,3,0.070800,2789.38,-1.00,0.00,3.717644,75
Random,29,1,0.073415,2889.29,-1.00,0.00,3.585239,176
Random,29,2,0.074836,2891.03,-1.00,0.00,3.583537,71
Random,29,3,0.073933,2889.39,-1.00,0.00,3.585178,126
Random,30,1,0.079879,2989.10,-1.00,0.00,3.461867,145
Random,30,2,0.081147,2988.77,-1.00,0.00,3.462192,169
Random,30,3,0.081987,2988.32,-1.00,0.00,3.461859,92
